source_path,edge_type,raw_target,line_number,resolution_status,resolved_path,resolution_candidates,resolution_candidate_count,semantic_reachability_claimed
mql5/Include/Execution/E0006/DAL_E0006Types.mqh,MQL5_INCLUDE,Common/DAL_Common.mqh,3,RESOLVED_INTERNAL,mql5/Include/Common/DAL_Common.mqh,"[""Common/DAL_Common.mqh"",""mql5/Include/Common/DAL_Common.mqh"",""mql5/Common/DAL_Common.mqh""]",,false
mql5/Include/Execution/E0006/DAL_E0006Types.mqh,MQL5_INCLUDE,Market/DAL_Bars.mqh,5,RESOLVED_INTERNAL,mql5/Include/Market/DAL_Bars.mqh,"[""Market/DAL_Bars.mqh"",""mql5/Include/Market/DAL_Bars.mqh"",""mql5/Market/DAL_Bars.mqh""]",,false
mql5/Include/Execution/E0006/DAL_E0006Types.mqh,MQL5_INCLUDE,StructuralNodes/LRule/DAL_LRuleTypes.mqh,6,RESOLVED_INTERNAL,mql5/Include/StructuralNodes/LRule/DAL_LRuleTypes.mqh,"[""StructuralNodes/LRule/DAL_LRuleTypes.mqh"",""mql5/Include/StructuralNodes/LRule/DAL_LRuleTypes.mqh"",""mql5/StructuralNodes/LRule/DAL_LRuleTypes.mqh""]",,false
mql5/Include/Execution/E0006/DAL_E0006ZonePricing.mqh,MQL5_INCLUDE,Execution/E0006/DAL_E0006Types.mqh,3,RESOLVED_INTERNAL,mql5/Include/Execution/E0006/DAL_E0006Types.mqh,"[""Execution/E0006/DAL_E0006Types.mqh"",""mql5/Include/Execution/E0006/DAL_E0006Types.mqh"",""mql5/Execution/E0006/DAL_E0006Types.mqh""]",,false
mql5/Include/Execution/E0006/DAL_E0006ZonePricing.mqh,MQL5_INCLUDE,M0001/DAL_M0001Engine.mqh,5,RESOLVED_INTERNAL,mql5/Include/M0001/DAL_M0001Engine.mqh,"[""M0001/DAL_M0001Engine.mqh"",""mql5/Include/M0001/DAL_M0001Engine.mqh"",""mql5/M0001/DAL_M0001Engine.mqh""]",,false
mql5/Include/Execution/E0007/DAL_E0007Modules.mqh,MQL5_INCLUDE,Execution/E0007/DAL_E0007Types.mqh,3,RESOLVED_INTERNAL,mql5/Include/Execution/E0007/DAL_E0007Types.mqh,"[""Execution/E0007/DAL_E0007Types.mqh"",""mql5/Include/Execution/E0007/DAL_E0007Types.mqh"",""mql5/Execution/E0007/DAL_E0007Types.mqh""]",,false
mql5/Include/Execution/E0007/DAL_E0007Modules.mqh,MQL5_INCLUDE,Execution/E0007/DAL_E0007PurpleSourceEngine.mqh,5,RESOLVED_INTERNAL,mql5/Include/Execution/E0007/DAL_E0007PurpleSourceEngine.mqh,"[""Execution/E0007/DAL_E0007PurpleSourceEngine.mqh"",""mql5/Include/Execution/E0007/DAL_E0007PurpleSourceEngine.mqh"",""mql5/Execution/E0007/DAL_E0007PurpleSourceEngine.mqh""]",,false
mql5/Include/Execution/E0007/DAL_E0007Modules.mqh,MQL5_INCLUDE,Execution/E0007/DAL_E0007OrderEngine.mqh,6,RESOLVED_INTERNAL,mql5/Include/Execution/E0007/DAL_E0007OrderEngine.mqh,"[""Execution/E0007/DAL_E0007OrderEngine.mqh"",""mql5/Include/Execution/E0007/DAL_E0007OrderEngine.mqh"",""mql5/Execution/E0007/DAL_E0007OrderEngine.mqh""]",,false
mql5/Include/Execution/E0007/DAL_E0007OrderEngine.mqh,MQL5_INCLUDE,Trade/Trade.mqh,3,EXTERNAL_PLATFORM_LIBRARY,,"[""Trade/Trade.mqh"",""mql5/Include/Trade/Trade.mqh"",""mql5/Trade/Trade.mqh""]",,false
mql5/Include/Execution/E0007/DAL_E0007OrderEngine.mqh,MQL5_INCLUDE,Execution/E0007/DAL_E0007Types.mqh,5,RESOLVED_INTERNAL,mql5/Include/Execution/E0007/DAL_E0007Types.mqh,"[""Execution/E0007/DAL_E0007Types.mqh"",""mql5/Include/Execution/E0007/DAL_E0007Types.mqh"",""mql5/Execution/E0007/DAL_E0007Types.mqh""]",,false
mql5/Include/Execution/E0007/DAL_E0007OrderEngine.mqh,MQL5_INCLUDE,Execution/DAL_ExecRisk.mqh,6,RESOLVED_INTERNAL,mql5/Include/Execution/DAL_ExecRisk.mqh,"[""Execution/DAL_ExecRisk.mqh"",""mql5/Include/Execution/DAL_ExecRisk.mqh"",""mql5/Execution/DAL_ExecRisk.mqh""]",,false
mql5/Include/Execution/E0007/DAL_E0007OrderEngine.mqh,MQL5_INCLUDE,Execution/DAL_ExecOrders.mqh,7,RESOLVED_INTERNAL,mql5/Include/Execution/DAL_ExecOrders.mqh,"[""Execution/DAL_ExecOrders.mqh"",""mql5/Include/Execution/DAL_ExecOrders.mqh"",""mql5/Execution/DAL_ExecOrders.mqh""]",,false
mql5/Include/Execution/E0007/DAL_E0007PurpleSourceEngine.mqh,MQL5_INCLUDE,Execution/E0007/DAL_E0007Types.mqh,3,RESOLVED_INTERNAL,mql5/Include/Execution/E0007/DAL_E0007Types.mqh,"[""Execution/E0007/DAL_E0007Types.mqh"",""mql5/Include/Execution/E0007/DAL_E0007Types.mqh"",""mql5/Execution/E0007/DAL_E0007Types.mqh""]",,false
mql5/Include/Execution/E0007/DAL_E0007PurpleSourceEngine.mqh,MQL5_INCLUDE,Market/DAL_Bars.mqh,5,RESOLVED_INTERNAL,mql5/Include/Market/DAL_Bars.mqh,"[""Market/DAL_Bars.mqh"",""mql5/Include/Market/DAL_Bars.mqh"",""mql5/Market/DAL_Bars.mqh""]",,false
mql5/Include/Execution/E0007/DAL_E0007PurpleSourceEngine.mqh,MQL5_INCLUDE,StructuralNodes/DAL_StructuralNodeEngine.mqh,6,RESOLVED_INTERNAL,mql5/Include/StructuralNodes/DAL_StructuralNodeEngine.mqh,"[""StructuralNodes/DAL_StructuralNodeEngine.mqh"",""mql5/Include/StructuralNodes/DAL_StructuralNodeEngine.mqh"",""mql5/StructuralNodes/DAL_StructuralNodeEngine.mqh""]",,false
mql5/Include/Execution/E0007/DAL_E0007PurpleSourceEngine.mqh,MQL5_INCLUDE,M0001/DAL_M0001Config.mqh,7,RESOLVED_INTERNAL,mql5/Include/M0001/DAL_M0001Config.mqh,"[""M0001/DAL_M0001Config.mqh"",""mql5/Include/M0001/DAL_M0001Config.mqh"",""mql5/M0001/DAL_M0001Config.mqh""]",,false
