source_path,edge_type,raw_target,line_number,resolution_status,resolved_path,resolution_candidates,resolution_candidate_count,semantic_reachability_claimed
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/causal_clock_contract.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/causal_clock_contract.schema.json,"[""registry/acl_os/acl_02/schemas/v1/causal_clock_contract.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/context_manifest.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/context_manifest.schema.json,"[""registry/acl_os/acl_02/schemas/v1/context_manifest.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/data_contract.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/data_contract.schema.json,"[""registry/acl_os/acl_02/schemas/v1/data_contract.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/example_catalog.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/example_catalog.schema.json,"[""registry/acl_os/acl_02/schemas/v1/example_catalog.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/feature_view_contract.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/feature_view_contract.schema.json,"[""registry/acl_os/acl_02/schemas/v1/feature_view_contract.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/finding.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/finding.schema.json,"[""registry/acl_os/acl_02/schemas/v1/finding.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/glossary_contract.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/glossary_contract.schema.json,"[""registry/acl_os/acl_02/schemas/v1/glossary_contract.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/intake_session.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/intake_session.schema.json,"[""registry/acl_os/acl_02/schemas/v1/intake_session.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/occurrence_contract.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/occurrence_contract.schema.json,"[""registry/acl_os/acl_02/schemas/v1/occurrence_contract.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/ontology_contract.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/ontology_contract.schema.json,"[""registry/acl_os/acl_02/schemas/v1/ontology_contract.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/owner_assignment.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/owner_assignment.schema.json,"[""registry/acl_os/acl_02/schemas/v1/owner_assignment.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/readiness_report.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/readiness_report.schema.json,"[""registry/acl_os/acl_02/schemas/v1/readiness_report.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/reference_contract.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/reference_contract.schema.json,"[""registry/acl_os/acl_02/schemas/v1/reference_contract.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/scope_contract.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/scope_contract.schema.json,"[""registry/acl_os/acl_02/schemas/v1/scope_contract.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/security_profile.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/security_profile.schema.json,"[""registry/acl_os/acl_02/schemas/v1/security_profile.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/state_machine_contract.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/state_machine_contract.schema.json,"[""registry/acl_os/acl_02/schemas/v1/state_machine_contract.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_02/schemas/v1/treatment_envelope.schema.json,0,RESOLVED_INTERNAL,registry/acl_os/acl_02/schemas/v1/treatment_envelope.schema.json,"[""registry/acl_os/acl_02/schemas/v1/treatment_envelope.schema.json""]",,false
ACL_OS_02_QA_REPORT.json,CONFIG_PATH_REFERENCE,security/security_profile.yaml,0,UNRESOLVED,,"[""security/security_profile.yaml""]",,false
ACL_OS_03_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_03/policies/v1/acl04_handoff_policy.yaml,0,RESOLVED_INTERNAL,registry/acl_os/acl_03/policies/v1/acl04_handoff_policy.yaml,"[""registry/acl_os/acl_03/policies/v1/acl04_handoff_policy.yaml""]",,false
ACL_OS_03_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_03/policies/v1/adapter_capability_policy.yaml,0,RESOLVED_INTERNAL,registry/acl_os/acl_03/policies/v1/adapter_capability_policy.yaml,"[""registry/acl_os/acl_03/policies/v1/adapter_capability_policy.yaml""]",,false
ACL_OS_03_QA_REPORT.json,CONFIG_PATH_REFERENCE,registry/acl_os/acl_03/policies/v1/claim_ceiling.yaml,0,RESOLVED_INTERNAL,registry/acl_os/acl_03/policies/v1/claim_ceiling.yaml,"[""registry/acl_os/acl_03/policies/v1/claim_ceiling.yaml""]",,false
