path,extension,size_bytes,line_count,sha256,is_binary,is_empty,category
lab/core/CP0000_market_data/test.py,.py,1651,59,d3c527c93e8849cbf7571b5b1ab7b95841a4193552c228b7d57e001fddb27759,False,False,python_source
lab/core/CP0000_market_data/tests/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0000_market_data/utils/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0000_market_data/utils/timeframes.py,.py,717,30,92da98a75bbf075df8b5788dc5ccbf5a296c1981c66080ed71d6f3171370cca3,False,False,python_source
lab/core/CP0000_sample/01_extractors/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0000_sample/02_metrics/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0000_sample/03_features/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0000_sample/04_statistics/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0000_sample/05_validation/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0000_sample/06_tests/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0000_sample/07_utils/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0000_sample/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/core/CP0000_sample/metadata.yaml,.yaml,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,registry_or_config
lab/core/CP0001_structural_nodes/01_extractors/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0001_structural_nodes/02_metrics/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0001_structural_nodes/03_features/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0001_structural_nodes/04_statistics/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0001_structural_nodes/05_validation/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0001_structural_nodes/06_tests/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0001_structural_nodes/07_utils/.gitkeep,[none],0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,other
lab/core/CP0001_structural_nodes/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/core/CP0001_structural_nodes/detectors/L_Rule.py,.py,9981,383,816c4bfeceab21abd6a7ff0bf02298ff47765716925b005df874c91541597611,False,False,python_source
lab/core/CP0001_structural_nodes/detectors/test_L_Rule.py,.py,2449,101,dba1998f961fd4cb46c5580efafe9134f89ccf9474fbde23aed412e766053022,False,False,python_source
lab/core/CP0001_structural_nodes/metadata.yaml,.yaml,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,registry_or_config
lab/core/CP0001_structural_nodes/metrics/M0001_relative_territory_volatility.md,.md,9907,832,dbb7bbddfee794322364d839d5dfc6803cf3ec76cff8563dfc22edd6f9a16673,False,False,documentation
lab/core/CP0001_structural_nodes/metrics/M0001_relative_territory_volatility.py,.py,22423,864,a013b785d3f3e77a64067774b53b7900d1128fa099edda8cad09fbb80f7e191e,False,False,python_source
lab/core/CP0001_structural_nodes/metrics/test_M0001_relative_territory_volatility.py,.py,2464,109,12f6c66185c51ab30b368fd3ae271a94f7107669108d479755aff9731c7adf43,False,False,python_source
papers/000_intro.md,.md,477,7,bba9684f5f104c62a8e07cdc7c54ed7200ca866844474f2367c193639d80aa17,False,False,documentation
registry/experiments.yaml,.yaml,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,registry_or_config
registry/hypotheses.yaml,.yaml,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,registry_or_config
registry/signals.yaml,.yaml,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,registry_or_config
registry/validations.yaml,.yaml,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,registry_or_config
