classification_id,artifact_path,authority_surfaces,capability_kinds,security_sensitive,primary_disposition,security_reviewer_role,security_review_status,risk_indicator_only,live_authority_inferred,runtime_authorized,live_order_authorized,capital_authorized,record_digest
ARTCLS_921BB28A226BE19C11E21E36164E9059,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i15/python/fp_i15_paper/order.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,QUARANTINE_UNCERTAIN,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:09533d9dd23ee1a561b4af373b9fffa1dc055aad50424b158ec062e9771e1f94
ARTCLS_B7438426EFBDD5AF1484AE0E06A13139,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i15/python/fp_i15_paper/position.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,QUARANTINE_UNCERTAIN,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:f55a52997adb4454469648587ab48413369cde81569dd40dd4ac71ab7a1b9ac4
ARTCLS_2CA7D76BC31A9268833D0BA52F1EB3C4,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i15/python/fp_i15_paper/quota.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,QUARANTINE_UNCERTAIN,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:90da40d3649056978adad3d7f5aef8411a0dfc2b4eb345980427c7a454ef9b59
ARTCLS_D9F308A7F2BA0E36E59AF2CC28D488CD,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i15/tests/test_admission.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:1aea5a9409c8fcbf9b86f6eaeada6036d658c260996e9de1ea12249d9a341a1a
ARTCLS_A8E377C968F6214AB4EC878964FDA0E0,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i15/tests/test_checkpoint_restart.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:331996a9832c33d6d5e5e348ae82e0c17a45c5a5e192e56977c8daaad793fc26
ARTCLS_B14BF402E5A7CCDD1F2706879797A3ED,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i15/tests/test_geometry.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:14cf11443d8eb43314489788cd91f99d4acbf00d951298ea8c4100537baee23d
ARTCLS_B4567100232E40CBC5A7BD2CF077F26C,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i15/tests/test_identity.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:f7f99677c5c9cb60af568d0a36439e8ef34dd1b2b4327d018fa9da1874cd93e6
ARTCLS_E53EFB604A9DFD47BDE4E5B2427771B9,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i15/tests/test_plan.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:a79e03f6d499c66db54af7a76e742a24e650b5e1ebc46d1c0170af7d1d6ceabf
ARTCLS_7CF73D571878DC254BDB06089E1BCB7E,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i15/tests/test_quota.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:a6680897030d07ee92ebd0f1e722d7597b2035871e4169f5648389a999e8b51d
ARTCLS_0D4B1CFCD668804E71635D2A3839C360,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i15/tests/test_revalidation.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:1ca0dcdc8e44ec7e1ed5939108eac53fa76cf970bf82e1b3af63ead14c69be34
