path,bytes,sha256,classification
.editorconfig,377,8d414997f2683f98adfa3e7934ec651843190223584dc790e7de5e285688bec3,ROOT_CANONICAL
.gitattributes,198,66dd9243105328b9972ee1b48a8cf9ab2a87ce8a6412d3dbf7860ff5cc5a83f2,ROOT_CANONICAL
.gitignore,658,b1181609329ce5bc72b609ada60ae5d9d1d4e9235da5a139cdcf703bbaf6eb40,ROOT_CANONICAL
ACL_OS_00_ARTIFACT_INVENTORY.csv,29430,5fa4407f38810f9fc2771e6a89313ef593aa1ace83c93231ce1174878be58394,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_00_FILE_HASHES.sha256,25137,281e05dcd9bf277b1cfbe57c8fa00dc83c1df68eb930e3fdfb3bb43f94151835,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_00_FILE_INDEX.txt,14400,b2c90644c1d5c69fa60f4415757ac59e174d22773208f43170ea5f041e309bc2,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_00_PATCH_MANIFEST.json,1126,8eed72cc97d96ed42aec8a34fb9a0c270ec0f97027edb1d36cd9a5d588f63bf8,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_00_QA_REPORT.json,1825,7a73edabb88cb11e2a0b98f2c7c98549f62cfce127010eb427adb03de983309d,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_01_ARTIFACT_INVENTORY.csv,38687,a6d1d58bef24d73cf2cc86a951d594c5447931ac69d756c73f2b38c8241dea60,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_01_FILE_HASHES.sha256,33178,d5a7fe663e1b5983fca10b8e02c3b64e3865ac2256e367e41e5fa91791e930dd,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_01_FILE_INDEX.txt,19141,b8051ee1c1af7e256a365ecb800a4e219ee028390704b4be875875856f6cfe4f,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_01_PATCH_MANIFEST.json,1370,0846700c6abad5c341ae617ecd162d2052c66809d09555255be40db06c42cfd7,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_01_QA_REPORT.json,793,f9826a6102aff34656006d6ce45c179a4bc5b9e880033cd817c1e3f633e5fd08,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
ACL_OS_02_ARTIFACT_INVENTORY.csv,63859,d687c9bc0a175a445c72e7d682bb91d3449561943237702a98f23ca5642b3325,RELEASE_METADATA_CANDIDATE_FOR_REGISTRY_ARCHIVE
