family_candidate,identity_kind,identity_candidate_count,protected_platform_count,security_review_blocked_count,human_semantic_approval_complete,automatic_merge_allowed,family_identity_status,family_identity_digest
FLAG_COUNTING_NDS_HOOK_ZONE,SETUP,2,0,0,false,false,PROVISIONAL_UNMERGED,sha256:de01b1f854fc1ec9e4d256ff362a9b97142435ac96d7e6b1b953b2450c5e0f84
FLAG_COUNTING_NDS_HOOK_ZONE,TREATMENT,11,0,0,false,false,PROVISIONAL_UNMERGED,sha256:88589ec6675d15d78dc07984f2df8c767c75d4c68089797aeeda9757d332de36
FLAG_COUNTING_NDS_HOOK_ZONE,VISUALIZER,12,0,0,false,false,PROVISIONAL_UNMERGED,sha256:c0418ef3cd83152ab39598b5b1f199b9c059492858401015770ae066d6cc7403
ICT_STRUCTURAL_NODES,ENGINE,1,0,0,false,false,PROVISIONAL_UNMERGED,sha256:9ef622b138437f5af806baa5c0bed60c470a6daf082671dcdd891aaac0a35597
LAB_OTHER,ADAPTER,41,0,0,false,false,PROVISIONAL_UNMERGED,sha256:a9dd5fb86c766744df6b26e3bd9c14bf0c913ed1d61beb13ad8c2a1bc54cedb9
LAB_OTHER,ENGINE,14,0,3,false,false,PROVISIONAL_UNMERGED,sha256:f14b685d8db1aebef6ff991ec709ed5f91dbdb54672ea92794140c7f97842b22
LAB_OTHER,SETUP,19,0,0,false,false,PROVISIONAL_UNMERGED,sha256:ee00967c54f4dfbc8eff5d1296c4dec542289146d8ceb2fa2334774d57aef233
LAB_OTHER,SUPPORT_ARTIFACT,12,0,0,false,false,PROVISIONAL_UNMERGED,sha256:7d00e13198cdac5f7bee7264e073560015971cc9f29629a431d1ae47271d9e97
LAB_OTHER,TREATMENT,142,0,8,false,false,PROVISIONAL_UNMERGED,sha256:e64aa2a29e4348a0251f6fa167e6becdedbc8b929667f0c58b48bc234c834588
MQL5_OTHER,ADAPTER,1,0,0,false,false,PROVISIONAL_UNMERGED,sha256:feed92224ec72bf1aa7a0b63818d3bfa030304b3c3fa84971223db8ae1e8b39e
MQL5_OTHER,ENGINE,4,0,0,false,false,PROVISIONAL_UNMERGED,sha256:7d838b31162ece774a7c2a64102a416f1b4322f2c49f3315cc7c388bb898979a
MQL5_OTHER,SUPPORT_ARTIFACT,44,0,0,false,false,PROVISIONAL_UNMERGED,sha256:064ab78e5f1cd28623435bf630cbb257ee7575615ce588ad5e58aeef0b19c524
M_SERIES_CONTEXTS,CONTEXT,1,0,0,false,false,PROVISIONAL_UNMERGED,sha256:74477ebf76f30155f5b0e023696c41adf014221b8d31ff4e3b275313b0d6dbea
M_SERIES_CONTEXTS,ENGINE,2,0,0,false,false,PROVISIONAL_UNMERGED,sha256:b247bb8d101ab61c860f4c187e083c20928fd71b5e428ee4580637c60348b40b
M_SERIES_CONTEXTS,TREATMENT,2,0,0,false,false,PROVISIONAL_UNMERGED,sha256:2a7aefef98146850305fe7d6d08819bbbf79c6baf393011dc8b036163e7cc337
M_SERIES_CONTEXTS,VISUALIZER,5,0,0,false,false,PROVISIONAL_UNMERGED,sha256:ea37273059420a0758238154e42587552cfb3b8eedcdc2cc1f3e52cc8c7ea3af
PRODUCT_LAB,SUPPORT_ARTIFACT,1,0,0,false,false,PROVISIONAL_UNMERGED,sha256:571169adba065e67059c0d033aa77af307b412c7e2b73e19b69e58c571a02e15
PRODUCT_LAB,VISUALIZER,18,0,4,false,false,PROVISIONAL_UNMERGED,sha256:8db21e3ccb99d8941423bb62edcee72cd53e026f540180419e5586c135f14dd3
RESEARCH_EXPERIMENTS,SUPPORT_ARTIFACT,55,0,0,false,false,PROVISIONAL_UNMERGED,sha256:9925d22aba7e211edf60380cff4f52a715ac592961bc64cf830758feca56aa27
STRATEGY_FACTORY_PLATFORM,ENGINE,1349,1349,2,false,false,PROVISIONAL_UNMERGED,sha256:e557c8e73ea24dd7331f354243ea7e9ec303a701200d6f1ef00f177f38ba419a
TOOLING_OTHER,ADAPTER,7,0,3,false,false,PROVISIONAL_UNMERGED,sha256:5fc944d536eb74daa65a89f8f0df10b0f8c65c4521e758f47d6d55fe9ef2a362
TOOLING_OTHER,ENGINE,4,0,2,false,false,PROVISIONAL_UNMERGED,sha256:672f5ce69a90442a759c42d1fea830a9e765423450c55f1ab072a83dfb94196b
TOOLING_OTHER,SUPPORT_ARTIFACT,1,0,0,false,false,PROVISIONAL_UNMERGED,sha256:1fdce553235e81034eba4da3e9a078b009d3012049586116c52b3a96424550a5
